nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes
Colonia Intensa,Acqua di Parma,Alberto Morillas,2007,4.26,"2,064","['citrus', 'warm spicy', 'aromatic', 'woody', 'fresh spicy', 'leather', 'fresh', 'herbal', 'amber']",male,moderate,average,ok,"['Cardamom', 'Ginger', 'Sicilian Lemon', 'Calabrian bergamot']","['Neroli', 'Artemisia', 'Myrtle']","['Leather', 'Musk', 'Cedar', 'Benzoin', 'Patchouli']"
Essenza di Colonia,Acqua di Parma,,2010,4.34,"3,696","['citrus', 'aromatic', 'white floral', 'fresh spicy', 'woody', 'green']",male,moderate,average,ok,[],[],[]
Gelsomino Nobile Edizione Speciale,Acqua di Parma,,2014,3.78,32,"['white floral', 'citrus', 'tuberose', 'musky', 'woody', 'animalic']",,,enormous,,"['Mandarin Orange', 'Pink Pepper']","['Tuberose', 'Orange Blossom', 'Jasmine']","['Musk', 'Cedar']"
Iris Nobile 10th Anniversary Special Edition,Acqua di Parma,Francis Kurkdjian,2014,3.78,27,"['powdery', 'citrus', 'yellow floral', 'floral', 'sweet', 'woody', 'white floral', 'iris', 'soft spicy', 'anis']",,moderate,average,,"['Mandarin Orange', 'Star Anise', 'Orange', 'Iris Flower', 'Bergamot']","['Orange Blossom', 'Tuberose', 'Mimosa', 'Ylang-Ylang', 'Hibiscus', 'Cedar']","['Vanila', 'Amber']"
Iris Nobile Edizione Speziale,Acqua di Parma,,2010,3.88,50,"['citrus', 'iris', 'woody', 'yellow floral', 'earthy', 'floral', 'sweet', 'powdery', 'musky', 'anis']",,,enormous,,"['Mandarin Orange', 'Anise', 'Bergamot']","['Ylang-Ylang', 'Iris']","['oak moss', 'Ambrette (Musk Mallow)', 'Patchouli']"
Iris Nobile Sublime,Acqua di Parma,,2012,4.04,259,"['white floral', 'citrus', 'iris', 'woody', 'sweet', 'powdery', 'yellow floral', 'violet', 'floral']",female,moderate,average,ok,"['Mandarin Orange', 'Neroli']","['Ylang-Ylang', 'Jasmine Sambac', 'Orange Blossom', 'Tuscan Iris']","['Cedar', 'Birch', 'Black locust']"
Magnolia Nobile Special Edition,Acqua di Parma,,2012,3.98,46,"['citrus', 'floral', 'white floral', 'woody', 'tuberose', 'fresh', 'rose', 'fresh spicy', 'aromatic']",female,moderate,average,,"['Cedar', 'Bergamot', 'Citruses']","['Magnolia', 'Tuberose', 'Rose', 'Jasmine']","['Vanilla', 'Vetiver', 'Sandalwood', 'Patchouli']"
Magnolia Nobile Special Edition 2016,Acqua di Parma,,2016,4.00,54,"['citrus', 'woody', 'floral', 'white floral', 'aromatic', 'rose', 'tuberose', 'powdery', 'vanilla', 'earthy']",female,moderate,average,ok,"['Cedar', 'Bergamot', 'Lemon']","['Magnolia', 'Tuberose', 'Rose', 'Jasmine']","['Patchouli', 'Vanilla', 'Sandalwood', 'Vetiver']"
Peonia Nobile,Acqua di Parma,François Demachy,2016,3.78,"1,193","['rose', 'floral', 'fresh spicy', 'fresh', 'fruity', 'sweet', 'warm spicy', 'patchouli', 'aromatic']",female,moderate,average,ok,[],[],[]
Peonia Nobile Edizione Speciale,Acqua di Parma,,2017,3.89,35,"['floral', 'fresh', 'rose', 'amber', 'fresh spicy', 'fruity', 'patchouli', 'warm spicy', 'sweet', 'woody']",,weak,intimate,,"['Raspberry', 'Black Pepper']","['Geranium', 'Peony']","['Amber', 'Patchouli']"
Profumo Eau de Parfum,Acqua di Parma,,2009,4.44,234,"['woody', 'floral', 'yellow floral', 'amber', 'rose', 'musky', 'aromatic', 'powdery', 'earthy', 'citrus']",female,moderate,strong,ok,"['Ylang-Ylang', 'Bergamot', 'Peony']","['Jasmine', 'Labdanum', 'Bulgarian Rose']","['Patchouli', 'Musk', 'Sandalwood', 'Vetiver']"
Rosa Nobile,Acqua di Parma,François Demachy,2014,3.91,"1,458","['rose', 'floral', 'fresh', 'citrus', 'powdery', 'musky', 'fresh spicy', 'violet', 'woody']",female,moderate,average,ok,"['Mandarin Orange', 'Bergamot', 'Pepper']","['Violet', 'Rose', 'Peony', 'Lily-of-the-Valley']","['Musk', 'Cedar', 'Ambergris']"
Rosa Nobile Edizione Speciale,Acqua di Parma,,2015,3.95,19,"['floral', 'rose', 'citrus', 'fresh', 'powdery', 'violet', 'fresh spicy', 'woody', 'amber', 'white floral']",,moderate,enormous,,"['Mandarin Orange', 'Bergamot', 'Pepper']","['Violet', 'Rose', 'Peony', 'Lily-of-the-Valley']","['Musk', 'Cedar', 'Ambergris']"
Acqua Nobile Gelsomino,Acqua di Parma,,2013,4.13,204,"['citrus', 'white floral', 'aromatic', 'fresh spicy', 'green']",female,moderate,average,overpriced,[],[],[]
Acqua Nobile Iris,Acqua di Parma,,2013,4.09,209,"['citrus', 'white floral', 'iris', 'powdery']",female,moderate,average,ok,"['Citron', 'Grapefruit', 'Mandarin Orange']","['Neroli', 'Iris', 'Orange Blossom', 'Violet Leaves']","['Musk', 'Vanilla']"
Acqua Nobile Magnolia,Acqua di Parma,,2013,4.04,197,"['citrus', 'floral', 'white floral', 'fresh']",female,moderate,intimate,ok,"['Mandarin Orange', 'Neroli', 'Citron', 'Lemon', 'Bergamot']","['Orange Blossom', 'Jasmine', 'Lily-of-the-Valley', 'Magnolia', 'Freesia']","['Musk', 'Vanilla']"
Acqua Nobile Rosa,Acqua di Parma,,2015,3.88,145,"['rose', 'floral', 'citrus', 'fruity', 'musky', 'fresh spicy', 'powdery', 'animalic']",female,moderate,average,overpriced,"['Mandarin Orange', 'Bergamot', 'Black Currant']","['Damask Rose', 'Cyclamen', 'Rose', 'Freesia', 'Black Pepper']","['Musk', 'Ambergris']"
Acqua di Parma Blu Mediterraneo Arancia La Spugnatura,Acqua di Parma,François Demachy,2023,4.09,231,"['citrus', 'fresh spicy', 'sweet', 'woody']",unisex,moderate,average,overpriced,"['Mandarin Orange', 'Lemon', 'Sicilian Orange']","['Bitter Almond', 'Black Pepper']","['Musk', 'Cedar']"
Acqua di Parma Blu Mediterraneo Cipresso di Toscana,Acqua di Parma,Bertrand Duchaufour,2005,3.96,875,"['aromatic', 'woody', 'fresh spicy', 'green', 'herbal']",male,moderate,average,ok,"['Basil', 'Rosemary', 'Petitgrain', 'Sage', 'Grapefruit']","['Lavender', 'Jasmine', 'Pine Tree', 'Coriander', 'Lily-of-the-Valley', 'Cardamom']","['Silver Pine', 'Cypress', 'Oakmoss', 'Cedar', 'Vetiver', 'Patchouli']"
Acqua di Parma Blu Mediterraneo Fico di Amalfi,Acqua di Parma,,2006,4.32,"6,954","['citrus', 'woody', 'fruity', 'sweet', 'fresh spicy', 'aromatic']",unisex,moderate,average,ok,"['Citron', 'Grapefruit', 'Bergamot', 'Lemon']","['Jasmine', 'Pink Pepper', 'Fig Nectar']","['Cedar', 'Benzoin', 'Fig Tree']"
Acqua di Parma Blu Mediterraneo Ginepro di Sardegna,Acqua di Parma,Mélanie Carestia,2014,4.19,915,"['fresh spicy', 'aromatic', 'woody']",male,moderate,average,ok,"['Pepper', 'Juniper', 'Bergamot', 'Allspice', 'Nutmeg']","['Sage', 'Cypress']",['Virginia Cedar']
